Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
-0.0263596723637676,-0.0306227126101706,-0.0220966321173646,0,GLM,100,0.5,0.01,0,0
-0.0198138853176781,-0.0240898180809045,-0.0155379525544517,0,EN,100,0.5,0.01,0,0
0.00049106424822587,-0.0037751736624484,0.00475730215890014,0.995836593647921,AEN,100,0.5,0.01,0,0
-0.0200416723631041,-0.0243047126095063,-0.0157786321167018,0,RF,100,0.5,0.01,0,0
-0.0447619999999992,-0.0490217935378159,-0.0405022064621825,0,GLM,500,10,0.05,0,0
0.00960430000000023,0.00534450646218353,0.0138640935378169,9.64884669940602e-08,EN,500,10,0.05,0,0
0.0255706000000006,0.0213108064621839,0.0298303935378173,0,AEN,500,10,0.05,0,0
-0.0394086999999985,-0.0436684935378152,-0.0351489064621818,0,RF,500,10,0.05,0,0
-0.0293507999999997,-0.0336080900196369,-0.0250935099803625,0,GLM,500,20,0.1,0,0
0.0206813000000008,0.0164240099803636,0.024938590019638,0,EN,500,20,0.1,0,0
0.0482868000000001,0.0440295099803629,0.0525440900196373,0,AEN,500,20,0.1,0,0
-0.0255623999999994,-0.0298196900196366,-0.0213051099803622,0,RF,500,20,0.1,0,0
-0.0367775999999999,-0.0410351508851139,-0.0325200491148858,0,GLM,1000,20,0.05,0.95,0
0.0278851000000008,0.0236275491148867,0.0321426508851149,0,EN,1000,20,0.05,0.95,0
0.0353190000000002,0.0310614491148861,0.0395765508851143,0,AEN,1000,20,0.05,0.95,0
-0.0333714999999988,-0.0376290508851129,-0.0291139491148847,0,RF,1000,20,0.05,0.95,0
-0.0400624000000006,-0.0443214298258576,-0.0358033701741436,0,GLM,500,10,0.05,0.95,0
0.031118599999999,0.026859570174142,0.035377629825856,0,EN,500,10,0.05,0.95,0
0.0370879999999998,0.0328289701741428,0.0413470298258568,0,AEN,500,10,0.05,0.95,0
-0.0365048000000007,-0.0407638298258576,-0.0322457701741437,0,RF,500,10,0.05,0.95,0
-0.0348196000000006,-0.0390772183925925,-0.0305619816074087,0,GLM,500,20,0.1,0.95,0
0.053584899999999,0.0493272816074071,0.057842518392591,0,EN,500,20,0.1,0.95,0
0.0593991999999998,0.0551415816074078,0.0636568183925917,0,AEN,500,20,0.1,0.95,0
-0.0325462000000009,-0.0368038183925928,-0.0282885816074089,0,RF,500,20,0.1,0.95,0
-0.0771726999999981,-0.0814298933125776,-0.0729155066874186,0,GLM,1000,20,0.05,0,0.9
0.00857410000000214,0.00431690668742267,0.0128312933125816,3.55599007861862e-06,EN,1000,20,0.05,0,0.9
0.00857410000000203,0.00431690668742256,0.0128312933125815,2.7062159579927e-06,AEN,1000,20,0.05,0,0.9
-0.0713345999999986,-0.0755917933125781,-0.0670774066874191,0,RF,1000,20,0.05,0,0.9
-0.0769083999999975,-0.0811702901366602,-0.0726465098633349,0,GLM,500,10,0.05,0,0.9
0.00776070000000051,0.00349880986333788,0.0120225901366631,3.61552015137878e-05,EN,500,10,0.05,0,0.9
0.00776070000000062,0.00349880986333799,0.0120225901366632,3.1020158322681e-05,AEN,500,10,0.05,0,0.9
-0.0716674000000005,-0.0759292901366631,-0.0674055098633379,0,RF,500,10,0.05,0,0.9
-0.0850678000000007,-0.0893257178793486,-0.0808098821206528,0,GLM,500,20,0.1,0,0.9
0.0431546000000015,0.0388966821206536,0.0474125178793494,0,EN,500,20,0.1,0,0.9
0.0430405000000019,0.038782582120654,0.0472984178793498,0,AEN,500,20,0.1,0,0.9
-0.0775221,-0.0817800178793479,-0.0732641821206521,0,RF,500,20,0.1,0,0.9
-0.0484724999999999,-0.0527309897265059,-0.0442140102734939,0,GLM,1000,20,0.05,0.95,0.9
0.0337288999999992,0.0294704102734932,0.0379873897265051,0,EN,1000,20,0.05,0.95,0.9
0.0365783000000002,0.0323198102734942,0.0408367897265061,0,AEN,1000,20,0.05,0.95,0.9
-0.0419523000000013,-0.0462107897265072,-0.0376938102734953,0,RF,1000,20,0.05,0.95,0.9
-0.0532437999999998,-0.0575049137153778,-0.0489826862846219,0,GLM,500,10,0.05,0.95,0.9
0.0267373999999997,0.0224762862846218,0.0309985137153776,0,EN,500,10,0.05,0.95,0.9
0.0296411999999999,0.025380086284622,0.0339023137153778,0,AEN,500,10,0.05,0.95,0.9
-0.0466979000000002,-0.0509590137153781,-0.0424367862846223,0,RF,500,10,0.05,0.95,0.9
-0.0593944000000004,-0.0636500527333697,-0.0551387472666311,0,GLM,500,20,0.05,0,0
-0.0506677000000002,-0.0549233527333695,-0.0464120472666309,0,EN,500,20,0.05,0,0
